"isbn","title","code","author","publisher","publish_date"
9484004160502,"科学の方法",4,"中谷宇吉朗","岩波書店",1958/06/17
9784005009350,"はじめての哲学",1,"藤田正勝","岩波新書 ",2021/06/21
9784344928145,"AIは人類を駆逐するのか？自律世界の到来",5,"太田裕朗","幻冬舎",2020/07/02
9784469246001,"英語コーパスを使用した言語研究",8,"ハーンス・リンドクヴィスト","大修館書店",2016/03/08
9784569640167,"頭のいい人の片づけ方",0,"マイク・ネルソン","PHP研究所",2005/01/12
9784623062928,"よくわかる産業社会学",6,"上林千恵子","ミネルヴァ書房",2021/06/01
9784623083794,"社会科学系論文の書き方",3,"明石芳彦","?ミネルヴァ書房",2018/08/30
9784815601454,"一度読んだら絶対に忘れない日本史の教科書",2,"山﨑圭一","SBクリエイティブ",2019/09/07
9784831507037,"日本の精神",7,"坂崎坦，河野元昭","ぺりかん社",1995/12/01
9784909832313,"「上代のことばと文学」入門",9,"瀬間正之","花鳥社",2020/01/14
